Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,KMD
1,514.284397,68.8455,823974.98,513.7102,514,290
2,276.059461,0.532,1401642.92,275.7512,276,249
3,290.07511,2.6118,1349914.31,289.7512,290,249
4,304.090759,6.3988,1268469.88,303.7512,304,249
5,318.106404,9.5062,1208069.95,317.7512,318,249
6,332.122051,10.4679,1152194.62,331.7512,332,249
7,360.153356,5.3889,1034767.05,359.7512,360,249
8,374.169016,3.1766,999783.78,373.7512,374,249
9,388.184672,1.5488,1003874.09,387.7512,388,249
10,402.200327,0.7843,969028.76,401.7512,402,249
11,260.064547,1.0497,1492054.66,259.7742,260,226
12,274.080196,3.7615,1413521.23,273.7742,274,226
13,288.095848,7.7391,1350148.23,287.7742,288,226
14,302.111495,10.4026,1282889.02,301.7742,302,226
15,330.142786,6.2734,1162310.93,329.7742,330,226
16,344.158432,3.4196,1097537.81,343.7742,344,226
17,358.174086,1.791,1035292.87,357.7742,358,226
18,372.189745,0.8747,1029524.86,371.7742,372,226
19,234.048904,0.3112,1766285.35,233.7876,234,212
20,248.064545,1.2204,1561429.71,247.7876,248,212
21,262.080195,3.1874,1510777.83,261.7876,262,212
22,276.095849,6.8276,1399409.07,275.7876,276,212
23,290.111499,10.1946,1342141.39,289.7876,290,212
24,318.142789,5.7842,1206370.5,317.7876,318,212
25,332.158433,3.3738,1142125.5,331.7876,332,212
26,346.174088,1.5046,1092320.87,345.7876,346,212
27,360.189754,0.5238,972037.51,359.7876,360,212
28,264.059457,0.5316,1376918.63,263.7646,264,235
29,278.07511,2.2233,1390702.74,277.7646,278,235
30,292.090761,6.2024,1324854.13,291.7646,292,235
31,306.106406,9.0529,1265505.87,305.7646,306,235
32,320.122055,9.126,1201193.93,319.7646,320,235
33,348.153349,4.6888,1075547,347.7646,348,235
34,362.169006,2.2632,1014930.49,361.7646,362,235
35,376.184671,1.0274,995253.8,375.7646,376,235
36,390.20032,0.4395,1079244.32,389.7646,390,235
37,316.127142,9.1225,1228038,315.7742,316,226
38,304.127143,8.9363,1283668.52,303.7876,304,212
39,346.137701,8.2859,1085954.76,345.7512,346,249
40,302.075108,1.6638,1301197.59,301.7378,302,262
41,316.090754,4.6038,1213804.81,315.7378,316,262
42,330.106403,7.3421,1159325.56,329.7378,330,262
43,344.122047,8.1734,1096339.49,343.7378,344,262
44,372.153366,6.341,1028997.3,371.7378,372,262
45,386.169014,3.6714,1014319.76,385.7378,386,262
46,400.18467,1.9647,1002288.75,399.7378,400,262
47,414.200336,1.1437,1012037.92,413.7379,414,262
48,428.215966,0.4777,955530.02,427.7378,428,262
49,238.064942,2.1706,1698597.29,237.7991,238,201
50,252.080593,7.9512,1586210.32,251.7991,252,201
51,268.075505,3.0593,1442029.72,267.7762,268,224
52,282.091158,7.6984,1380078.55,281.7762,282,224
