There were 3704 Peaks found from m/z=   106.72    to m/z=   983.50.
NEGATIVE ION MODE
Noise threshold: 0.012182        Peak threshold: 0.017403

Calibration parameters: A = 144217945.493776 , B = -350102700.706502 and Trap Plate Voltage = -1.000000
Center of Mass for the Assigned Window is   391.7691

 There were ,1168 odd peaks, and ,2536 even peaks

Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula
       1, 296.106792,  7.4044, 1383300.29,  295.7762,  296,   1, -12, 224,   0, 0.0,,,No Hit
       2, 514.284397,  3.1185,  826339.08,  513.7102,  514,   1,  -4, 290,   1, 5.0,,N1 O7 S1 ,,C,26,H,44,N,1,O,7,S,1,,,,,,,,,,,,,,,
       3, 360.122820,  1.9340, 1139690.91,  359.7207,  360,   1,  -4, 279,   2, 0.0,,,No Hit
       4, 444.143954,  0.0246,  905577.07,  443.6480,  444,   1,  -4, 352,   3, 0.0,,,No Hit
       5, 458.159588,  1.5455,  858633.50,  457.6480,  458,   1,  -4, 352,   3, 0.0,,,No Hit
       6, 332.085649,  0.7660, 1229077.60,  331.7149,  332,   1,  -4, 285,   4,10.0,,O7 13C1 ,*,C,16,H,15,,,O,7,,,,,13C,1, ,,,,,,,,,,
       7, 360.116960,  0.0353, 1106835.64,  359.7149,  360,   1,  -4, 285,   4,10.0,,O7 13C1 ,*,C,18,H,19,,,O,7,,,,,13C,1, ,,,,,,,,,,
       8, 374.132615,  0.0319, 1051604.22,  373.7149,  374,   1,  -4, 285,   4,10.0,,O7 13C1 ,*,C,19,H,21,,,O,7,,,,,13C,1, ,,,,,,,,,,
       9, 390.112276,  0.0434, 1050488.36,  389.6767,  390,   1,  -2, 323,   5, 0.0,,,No Hit
      10, 404.127912,  0.5742, 1003379.89,  403.6767,  404,   1,  -2, 323,   5, 0.0,,,No Hit
      11, 342.112260,  0.5241, 1182413.71,  341.7303,  342,   1,  -8, 270,   6, 0.0,,,No Hit
      12, 147.552056,  0.4693, 2304629.54,  147.3873,  148,   1,  -7,-387,   7, 0.0,,,No Hit
      13, 476.170150,  0.4524,  817228.52,  475.6385,  476,   1, -14, 361,   8, 0.0,,,No Hit
      14, 324.059438,  0.4333, 1270168.10,  323.6976,  324,   1, -12, 302,   9, 0.0,,,No Hit
      15, 380.122039,  0.0265, 1045779.41,  379.6976,  380,   1, -12, 302,   9, 0.0,,,No Hit
      16, 522.175615,  0.4019,  722306.15,  521.5926,  522,   1, -10, 407,  10, 0.0,,,No Hit
      17, 498.134822,  0.3681,  770503.97,  497.5786,  498,   1,  -6, 421,  11,23.0,,N1 O5 ,*,C,32,H,20,N,1,O,5,,,,,,,,,,,,,,,,,
      18, 588.166484,  0.3651,  608237.07,  587.5098,  588,   1, -14, 490,  12,23.0,,N1 O8 ,*,C,35,H,26,N,1,O,8,,,,,,,,,,,,,,,,,
      19, 296.105766,  0.3641, 1304869.99,  295.7751,  296,   1, -12, 225,  13, 0.0,,,No Hit
      20, 312.101699,  0.3622, 1301082.27,  311.7532,  312,   1, -10, 247,  14, 0.0,,,No Hit
      21, 340.132979,  0.0339, 1147179.67,  339.7532,  340,   1, -10, 247,  14, 0.0,,,No Hit
      22, 324.101696,  0.3537, 1255140.74,  323.7398,  324,   1, -12, 260,  15, 3.0,,O10 13C1 ,,C,11,H,19,,,O,10,,,,,13C,1, ,,,,,,,,,,
      23, 352.132994,  0.0420, 1121651.89,  351.7398,  352,   1, -12, 260,  15, 3.0,,O10 13C1 ,,C,13,H,23,,,O,10,,,,,13C,1, ,,,,,,,,,,
      24, 366.148651,  0.0355, 1121230.91,  365.7398,  366,   1, -12, 260,  15, 3.0,,O10 13C1 ,,C,14,H,25,,,O,10,,,,,13C,1, ,,,,,,,,,,
