Mass,Formula,Isomers,BS,MS,,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,,,,ADG/Beilstein,ADG/NIST,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,Nominal Mass,ADG Number of Isomers,% MOD,%BS,%NIST
16,CH4,1,1,1,,16,1,1,1,,,,,1,1,16,1,1,1,,16,1,1,1,1
18,H2O,1,1,1,,18,1,1,1,,,,,0,0,18,1,1,1,,,,0,1,1
24,C2,0,0,0,,24,0,0,0,,,,,#DIV/0!,#DIV/0!,24,0,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!
26,C2H2,1,1,1,,26,1,1,1,,,,,0,0,26,1,1,1,,,,0,1,1
28,C2H4,1,1,1,,28,1,1,1,,,,,1,1,28,1,1,1,,28,1,1,1,1
30,CH2O,1,1,1,,30,2,2,2,,,,,0.5,0.5,30,2,2,2,,30,1,0.5,1,1
30,C2H6,1,1,1,,32,2,1,2,,,,,1,0.5,32,2,1,2,,32,1,0.5,0.5,1
32,O2,1,0,1,,34,1,1,0,,,,,0,#DIV/0!,34,1,1,0,,,,0,1,0
32,CH4O,1,1,1,,36,1,0,0,,,,,#DIV/0!,#DIV/0!,36,1,0,0,,,,0,0,0
34,H2O2,1,1,0,,38,2,1,0,,,,,0,#DIV/0!,38,2,1,0,,,,0,0.5,0
36,C3,1,0,0,,40,4,3,3,,,,,0,0,40,4,3,3,,,,0,0.75,0.75
38,C3H2,2,1,0,,42,5,5,3,,,,,0,0,42,5,5,3,,,,0,1,0.6
40,C2O,1,0,0,,44,5,5,4,,,,,0.4,0.5,44,5,5,4,,44,2,0.4,1,0.8
40,C3H4,3,3,3,,46,4,4,3,,,,,0.5,0.66667,46,4,4,3,,46,2,0.5,1,0.75
42,C2H2O,3,3,1,,48,6,2,0,,,,,0,#DIV/0!,48,6,2,0,,,,0,0.33333,0
42,C3H6,2,2,2,,50,8,1,1,,,,,0,0,50,8,1,1,,,,0,0.125,0.125
44,CO2,1,1,1,,52,13,7,1,,,,,0,0,52,13,7,1,,,,0,0.53846,0.07692
44,C2H4O,3,3,2,,54,18,12,7,,,,,0,0,54,18,12,7,,,,0,0.66667,0.38889
44,C3H8,1,1,1,,56,21,19,6,,,,,0.05263,0.16667,56,21,19,6,,56,1,0.04762,0.90476,0.28571
46,CH2O2,2,2,1,,58,20,14,9,,,,,0.28571,0.44444,58,20,14,9,,58,4,0.2,0.7,0.45
46,C2H6O,2,2,2,,60,20,13,6,,,,,0.07692,0.16667,60,20,13,6,,60,1,0.05,0.65,0.3
48,O3,1,0,0,,62,30,7,2,,,,,0.14286,0.5,62,30,7,2,,62,1,0.03333,0.23333,0.06667
48,CH4O2,2,2,0,,64,51,11,0,,,,,0,#DIV/0!,64,51,11,0,,,,0,0.21569,0
48,C4,3,0,0,,66,77,22,4,,,,,0,0,66,77,22,4,,,,0,0.28571,0.05195
50,H2O3,1,0,0,,68,95,45,19,,,,,0,0,68,95,45,19,,,,0,0.47368,0.2
50,C4H2,7,1,1,,70,99,49,26,,,,,0.06122,0.11538,70,99,49,26,,70,3,0.0303,0.49495,0.26263
52,C3O,2,0,0,,72,105,45,24,,,,,0.13333,0.25,72,105,45,24,,72,6,0.05714,0.42857,0.22857
52,C4H4,11,7,1,,74,146,31,15,,,,,0.12903,0.26667,74,146,31,15,,74,4,0.0274,0.21233,0.10274
54,C3H2O,9,3,0,,76,241,26,6,,,,,0.11538,0.5,76,241,26,6,,76,3,0.01245,0.10788,0.0249
54,C4H6,9,9,7,,78,384,39,5,,,,,0,0,78,384,39,5,,,,0,0.10156,0.01302
56,C2O2,3,1,0,,80,511,86,18,,,,,0,0,80,511,86,18,,,,0,0.1683,0.03523
56,C3H4O,13,13,2,,82,578,136,42,,,,,0,0,82,578,136,42,,,,0,0.23529,0.07266
56,C4H8,5,5,4,,84,597,164,58,,,,,0.03049,0.08621,84,597,164,58,,84,5,0.00838,0.27471,0.09715
58,C2H2O2,9,3,1,,86,796,144,65,,,,,0.11806,0.26154,86,796,144,65,,86,17,0.02136,0.1809,0.08166
58,C3H6O,9,9,6,,88,1303,93,41,,,,,0.16129,0.36585,88,1303,93,41,,88,15,0.01151,0.07137,0.03147
58,C4H10,2,2,2,,90,2139,65,22,,,,,0.10769,0.31818,90,2139,65,22,,90,7,0.00327,0.03039,0.01029
60,CO3,1,1,0,,92,3030,117,15,,,,,0.00855,0.06667,92,3030,117,15,,92,1,0.00033,0.03861,0.00495
60,C2H4O2,10,9,3,,94,3078,72,3,,,,,0,0,94,3078,72,3,,,,0,0.02339,0.00097
60,C3H8O,3,3,3,,96,3949,393,87,,,,,0.00509,0.02299,96,3949,393,87,,96,2,0.00051,0.09952,0.02203
60,C5,6,0,0,,98,5097,522,143,,,,,0.02874,0.1049,98,5097,522,143,,98,15,0.00294,0.10241,0.02806
62,CH2O3,4,2,0,,100,8161,432,135,,,,,0.09722,0.31111,100,8161,432,135,,100,42,0.00515,0.05293,0.01654
62,C2H6O2,5,5,2,,102,13580,304,82,,,,,0.10855,0.40244,102,13580,304,82,,102,33,0.00243,0.02239,0.00604
62,C5H2,21,0,0,,104,20137,252,47,,,,,0.0754,0.40426,104,20137,252,47,,104,19,0.00094,0.01251,0.00233
