Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,ADG Number of Isomers,Nominal Mass,BS/MG,NIST/MG,ADG/MG
16,1,1,1,1,16,1,1,1
18,1,1,1,,18,1,1,0
24,0,0,0,,24,,,
26,1,1,1,,26,1,1,0
28,1,1,1,1,28,1,1,1
30,2,2,2,1,30,1,1,0.5
32,2,1,2,1,32,0.5,1,0.5
34,1,1,0,,34,1,0,0
36,1,0,0,,36,0,0,0
38,2,1,0,,38,0.5,0,0
40,4,3,3,,40,0.75,0.75,0
42,5,5,3,,42,1,0.6,0
44,5,5,4,2,44,1,0.8,0.4
46,4,4,3,2,46,1,0.75,0.5
48,6,2,0,,48,0.33333,0,0
50,8,1,1,,50,0.125,0.125,0
52,13,7,1,,52,0.53846,0.07692,0
54,18,12,7,,54,0.66667,0.38889,0
56,21,19,6,1,56,0.90476,0.28571,0.04762
58,20,14,9,4,58,0.7,0.45,0.2
60,20,13,6,1,60,0.65,0.3,0.05
62,30,7,2,1,62,0.23333,0.06667,0.03333
64,51,11,0,,64,0.21569,0,0
66,77,22,4,,66,0.28571,0.05195,0
68,95,45,19,,68,0.47368,0.2,0
70,99,49,26,3,70,0.49495,0.26263,0.0303
72,105,45,24,6,72,0.42857,0.22857,0.05714
74,146,31,15,4,74,0.21233,0.10274,0.0274
76,241,26,6,3,76,0.10788,0.0249,0.01245
78,384,39,5,,78,0.10156,0.01302,0
80,511,86,18,,80,0.1683,0.03523,0
82,578,136,42,,82,0.23529,0.07266,0
84,597,164,58,5,84,0.27471,0.09715,0.00838
86,796,144,65,17,86,0.1809,0.08166,0.02136
88,1303,93,41,15,88,0.07137,0.03147,0.01151
90,2139,65,22,7,90,0.03039,0.01029,0.00327
92,3030,117,15,1,92,0.03861,0.00495,0.00033
94,3078,72,3,,94,0.02339,0.00097,0
96,3949,393,87,2,96,0.09952,0.02203,0.00051
98,5097,522,143,15,98,0.10241,0.02806,0.00294
100,8161,432,135,42,100,0.05293,0.01654,0.00515
102,13580,304,82,33,102,0.02239,0.00604,0.00243
104,20137,252,47,19,104,0.01251,0.00233,0.00094
106,25544,332,32,5,106,0.013,0.00125,0.0002
108,28678,646,92,6,108,0.02253,0.00321,0.00021
110,36289,999,143,6,110,0.02753,0.00394,0.00017
112,57233,1325,225,31,112,0.02315,0.00393,0.00054
114,95974,1150,209,84,114,0.01198,0.00218,0.00088
116,147223,836,128,95,116,0.00568,0.00087,0.00065
118,194676,545,86,67,118,0.0028,0.00044,0.00034
120,227345,691,67,18,120,0.00304,0.00029,0.00008
122,286287,1227,95,2,122,0.00429,0.00033,6.986E-06
124,445855,2037,192,,124,0.00457,0.00043,0
126,749961,2578,245,140,126,0.00344,0.00033,0.00019
128,1180550,2247,283,292,128,0.0019,0.00024,0.00025
130,1615446,1698,196,259,130,0.00105,0.00012,0.00016
132,1951288,1296,139,186,132,0.00066,0.00007,0.0001
134,2460651,1352,145,66,134,0.00055,0.00006,0.00003
136,3797225,2336,273,9,136,0.00062,0.00007,2.37015E-06
138,6406446,3657,303,15,138,0.00057,0.00005,2.34139E-06
140,10292400,4408,338,98,140,0.00043,0.00003,9.52159E-06
142,14498259,3902,290,418,142,0.00027,0.00002,0.00003
144,18044479,2983,239,929,144,0.00017,0.00001,0.00005
146,22884651,2299,181,676,146,0.0001,7.90923E-06,0.00003
148,35076496,2350,210,249,148,0.00007,5.98691E-06,7.09877E-06
150,59356042,3571,286,44,150,0.00006,4.81838E-06,7.41289E-07
,179923318,47614,5307,3882,,0.00026,0.00003,0.00002
