Generation,SMILES,,cLogP,cLogS,Polar Surface Area,H-Acceptors,Monoisotopic Mass
  G0,C(C(C(C(C(CO)O)O)O)O)=O ,,-3.3581,0.331,118.22,6,180.063
  G1,C(C(C(C(C(CO)O)O)O)O)O ,,-3.1458,0.546,121.38,6,182.079
  G1,C(C1C(C(C(C(O)O1)O)O)O)O ,,-2.6208,0.251,110.38,6,180.063
  G2,C(C(CC(C(CO)O)O)O)(O)=O ,,-2.4736,0.165,118.22,6,180.063
  G2,C(C(C(CO)O)O)O ,,-2.011,0.288,80.92,4,122.058
  G2,C(CO)(O)=O ,,-1.2258,0.048,57.53,3,76.016
  G2,C(C(C(CO)O)O)(O)=O ,,-2.3606,0.306,97.99,5,136.037
  G2,C1(CC(C(C(CO)O)O1)O)=O ,,-2.0417,-0.316,86.99,5,162.053
  G3,C(C(C)O)(O)=O ,,-0.8665,-0.33,57.53,3,90.032
  G3,C(C(CCO)O)(O)=O ,,-1.3388,-0.093,77.76,4,120.042
  G3,C(C(CO)(CC(CO)O)O)(O)=O ,,-2.4523,0.434,118.22,6,180.063
  G3,C1(C(C(CO1)O)O)=O ,,-1.7244,-0.175,66.76,4,118.027
  G3,C1(C(CC(C(CO)O)O1)O)=O ,,-2.0417,-0.316,86.99,5,162.053
  G3,C(CC(C(C(CO)O)O)O)(O)=O ,,-2.4736,0.165,118.22,6,180.063
  G3,C(C(CO)O)(O)=O ,,-1.7932,0.177,77.76,4,106.027
  G3,C(O)=O ,,-0.6699,-0.628,37.3,2,46.005
  G3,C(C)(O)=O ,,-0.2991,-0.459,37.3,2,60.021
  G3,C(C(C(C(CO)O)O)O)(O)=O ,,-2.928,0.435,118.22,6,166.048
  G4,C(C(CC(CO)O)O)(O)=O ,,-1.9062,0.036,97.99,5,150.053
  G4,C(C(CO)(C)O)(O)=O ,,-1.4126,0.068,77.76,4,120.042
  G4,C(C(C(CO)O)(CCO)O)(O)=O ,,-2.4523,0.434,118.22,6,180.063
  G4,C(C(C)(C(C(CO)O)O)O)(O)=O ,,-2.5474,0.326,118.22,6,180.063
  G4,C1(CC(CO1)=O)=O ,,-0.7286,-0.625,43.37,3,100.016
  G4,C(CC(CO)O)(O)=O ,,-1.3388,-0.093,77.76,4,120.042
  G4,C(CC(C(CO)O)O)(O)=O ,,-1.9062,0.036,97.99,5,150.053
  G4,C(CCO)(O)=O ,,-0.7714,-0.222,57.53,3,90.032
  G4,C(C(C)(C(CO)O)O)(O)=O ,,-1.98,0.197,97.99,5,150.053
  G4,C(C(CO)(CCO)O)(O)=O ,,-1.8849,0.305,97.99,5,150.053
  G4,C1(C(C(C(CO)O1)O)O)=O ,,-2.3264,-0.046,86.99,5,148.037
  G5,C(C(CC)O)(O)=O ,,-0.4121,-0.6,57.53,3,104.047
  G5,C(C(CCCO)O)(O)=O ,,-0.8844,-0.363,77.76,4,134.058
  G5,C1(CC(C(CO)O1)O)=O ,,-1.4743,-0.445,66.76,4,132.042
  G5,C1(C(CO)(CCO1)O)=O ,,-1.501,-0.176,66.76,4,132.042
  G5,C1(C(CC(CO)O1)O)=O ,,-1.4743,-0.445,66.76,4,132.042
  G5,C1(C(C(CO1)O)(CCO)O)=O ,,-1.8987,-0.047,86.99,5,162.053
  G5,C1(C(C)(C(CO1)O)O)=O,,-1.4264,-0.284,66.76,4,132.042
