from_molecule,relationship,to_molecule,rule,reaction_id,generation_formed
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',3,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(CC(C(CO)O)O)=O)=O,'Elimination + enol to keto',3,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',5,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CC(C(C(CO)O)O)=O)=O,'Elimination + enol to keto',5,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',7,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(CC(CO)O)=O)O)=O,'Elimination + enol to keto',7,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',9,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CC(C=O)O)(C(CO)O)=O,'Elimination + enol to keto',9,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',11,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C=O)O)O)(CCO)=O,'Elimination + enol to keto',11,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',13,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(CC(CO)=O)O)O)=O,'Elimination + enol to keto',13,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',15,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(C)=O)O)O)O)=O,'Elimination + enol to keto',15,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',17,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CC(C(C(C=O)O)O)O)=O,'Elimination + enol to keto',17,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CO)=O,'Retro Aldol',20,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(CO)O)O)=O,'Retro Aldol',20,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CO)(C(C(C(CO)O)O)O)=O,'Keto-enol migration twice',22,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C1C(C(C(O)O1)O)O)O)O,'Hemiacetal Formation for 5 membered rings',24,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C1C(C(C(C(O)O1)O)O)O)O,'Hemiacetal Formation for 6 membered rings',26,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C1C(C(C(C(C(O)O1)O)O)O)O,'Hemiacetal Formation for 7 membered rings',28,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)(O)=O,'Cannizarro 2,31,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)(O)=O,'Cannizarro 2,31,0
O,FORMS,C(C(C(C(C(CO)O)O)O)O)(O)=O,'Cannizarro 2,31,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)O,'Cannizarro 2,31,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)O,'Cannizarro 2,31,0
O,FORMS,C(C(C(C(C(CO)O)O)O)O)O,'Cannizarro 2,31,0
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',3,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(CC(C(CO)O)O)=O)=O,'Elimination + enol to keto',3,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',5,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CC(C(C(CO)O)O)=O)=O,'Elimination + enol to keto',5,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',7,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(CC(CO)O)=O)O)=O,'Elimination + enol to keto',7,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',9,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CC(C=O)O)(C(CO)O)=O,'Elimination + enol to keto',9,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',11,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C=O)O)O)(CCO)=O,'Elimination + enol to keto',11,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',13,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(CC(CO)=O)O)O)=O,'Elimination + enol to keto',13,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',15,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(C)=O)O)O)O)=O,'Elimination + enol to keto',15,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,O,'Elimination + enol to keto',17,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CC(C(C(C=O)O)O)O)=O,'Elimination + enol to keto',17,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CO)=O,'Retro Aldol',20,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(CO)O)O)=O,'Retro Aldol',20,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(CO)(C(C(C(CO)O)O)O)=O,'Keto-enol migration twice',22,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C1C(C(C(O)O1)O)O)O)O,'Hemiacetal Formation for 5 membered rings',24,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C1C(C(C(C(O)O1)O)O)O)O,'Hemiacetal Formation for 6 membered rings',26,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C1C(C(C(C(C(O)O1)O)O)O)O,'Hemiacetal Formation for 7 membered rings',28,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)(O)=O,'Cannizarro 2,31,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)(O)=O,'Cannizarro 2,31,1
O,FORMS,C(C(C(C(C(CO)O)O)O)O)(O)=O,'Cannizarro 2,31,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)O,'Cannizarro 2,31,1
C(C(C(C(C(CO)O)O)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)O,'Cannizarro 2,31,1
O,FORMS,C(C(C(C(C(CO)O)O)O)O)O,'Cannizarro 2,31,1
C(C(C(C=O)O)O)(CCO)=O,FORMS,C1(C(C(C(C1CO)O)O)O)=O,'Aldol Condensation',33,1
C(C(C(CC(CO)=O)O)O)=O,FORMS,C1(C(C(C(C(C1)O)O)O)O)=O,'Aldol Condensation',35,1
C(C(C(C(C(C)=O)O)O)O)=O,FORMS,C1(C(C(C(C(C1)O)O)O)O)=O,'Aldol Condensation',36,1
C(CC(C(C(C=O)O)O)O)=O,FORMS,C(C1C(C(C(C1O)O)O)O)=O,'Aldol Condensation',38,1
C(CO)=O,FORMS,C(C(C(CO)O)O)=O,'Aldol Condensation',39,1
C(CO)=O,FORMS,C(C(C(CO)O)O)=O,'Aldol Condensation',39,1
C(CO)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)=O,'Aldol Condensation',40,1
C(C(C(CO)O)O)=O,FORMS,C(C(C(C(C(CO)O)O)O)O)=O,'Aldol Condensation',40,1
O,FORMS,C(C(CC(C(CO)O)O)O)(O)=O,'Benzilic Acid Rearrangement',42,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(C(CC(C(CO)O)O)O)(O)=O,'Benzilic Acid Rearrangement',42,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',44,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(CCO)(CC(C=O)=O)=O,'Elimination + enol to keto',44,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',46,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(CO)(CCC(C=O)=O)=O,'Elimination + enol to keto',46,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',48,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(C)(C(CC(C=O)=O)O)=O,'Elimination + enol to keto',48,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',50,1
C(C(CC(C(CO)O)O)=O)=O,FORMS,C(CC(CC(C=O)=O)O)=O,'Elimination + enol to keto',50,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',52,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,C(CC(C(CCO)=O)=O)=O,'Elimination + enol to keto',52,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,O,'Elimination + enol to keto',54,1
C(CC(C(C(CO)O)O)=O)=O,FORMS,C(CC(CC(CO)=O)=O)=O,'Elimination + enol to keto',54,1
