count_outgoing,exact_mass,generation_formed,smiles_str
182,18.011,0,O
166,30.011,1,C=O
145,180.063,0,C(C(C(C(C(CO)O)O)O)O)=O
143,44.026,1,C(C)=O
67,74.037,1,C(C)(CO)=O
60,60.021,0,C(CO)=O
57,72.021,1,C(C(C)=O)=O
45,102.032,1,C(CC(C=O)O)=O
44,102.032,1,C(CC(CO)=O)=O
42,90.032,1,C(C(CO)O)=O
38,90.032,1,C(CO)(CO)=O
34,104.047,1,C(CO)(CCO)=O
33,102.032,1,C(C(CCO)=O)=O
33,102.032,1,C(C(C(C)=O)O)=O
32,104.047,1,C(C)(C(CO)O)=O
29,132.042,1,C(C(C(C(C)=O)O)O)=O
28,132.042,1,C(C(CC(CO)=O)O)=O
26,144.042,1,C(CC(CC(C=O)O)=O)=O
26,144.042,1,C(CC(C(CC=O)O)=O)=O
25,144.042,1,C(C(C(C(C=C)=O)O)O)=O
25,162.053,0,C(CC(C(C(C=O)O)O)O)=O
25,144.042,1,C(CC(CC(C=O)=O)O)=O
24,120.042,1,C(CO)(C(CO)O)=O
23,144.042,1,C(C)(C(CC(C=O)=O)O)=O
23,144.042,1,C(C(CC(C(C)=O)=O)O)=O
23,88.016,1,C(C(C=O)O)=O
22,162.053,0,C(C(C(C(C(C)=O)O)O)O)=O
22,162.053,1,C(C(C(CC(C=O)O)O)O)=O
22,58.005,1,C(C=O)=O
22,144.042,1,C(CCO)(CC(C=O)=O)=O
22,144.042,1,C(CC(C(CCO)=O)=O)=O
22,162.053,0,C(C(C(C=O)O)O)(CCO)=O
21,162.053,0,C(C(C(CC(CO)=O)O)O)=O
21,120.042,0,C(C(C(CO)O)O)=O
21,162.053,1,C(CC(C(C(CO)O)=O)O)=O
21,162.053,0,C(CC(C=O)O)(C(CO)O)=O
21,144.042,1,C(CO)(CCC(C=O)=O)=O
21,144.042,1,C(CC(CC(CO)=O)=O)=O
21,162.053,1,C(CC(C(C(CO)=O)O)O)=O
20,144.042,1,C(C(C(C=CC=O)O)O)=O
