generation_formed,random_walk_centrality,smiles_str
0,17149.583333333343,O
1,3337.1500000000005,C=O
1,1308.05,C(C)=O
0,1146.4833333333336,C(CO)=O
0,904.4166666666669,C(C(C(C(C(CO)O)O)O)O)=O
1,836.8666666666668,C(C)(CO)=O
0,713.5412698412705,C(C(C(C(C(CO)O)O)O)O)(O)=O
1,356.9408119658119,C(C(CO)O)=O
1,322.1166666666667,C(C(C)=O)=O
0,255.11666666666665,C(CC(C(C(C=O)O)O)O)=O
1,236.36858974358972,C(CO)(CCO)=O
1,207.98366910866912,C(C)(C(CO)O)=O
0,199.3511904761905,C(C(C(C(C(C)=O)O)O)O)=O
1,195.88611111111112,C(CC(C=O)O)=O
0,177.50747863247864,C(C(C(C=O)O)O)(CCO)=O
0,170.37500000000003,C(C(CC(C(CO)O)O)=O)=O
0,169.7123015873016,C(C(C(CC(CO)=O)O)O)=O
0,163.25747863247864,C(CC(C=O)O)(C(CO)O)=O
1,162.43333333333334,C(CC(CO)=O)=O
1,162.25,C(CO)(CO)=O
0,161.29126984126978,C(C(C(C(C(CO)O)O)O)O)O
1,158.95000000000002,C(C=O)=O
0,158.4539682539683,C(CC(C(C(CO)O)O)=O)=O
0,139.87063492063493,C(C(C(CO)O)O)=O
0,116.94285714285714,C(C(C(CC(CO)O)=O)O)=O
1,103.21581196581197,C(CO)(C(CO)O)=O
1,95.0,C(C(C(CC(C=O)O)O)O)=O
0,93.5,C(CO)(C(C(C(CO)O)O)O)=O
1,85.45833333333334,C(C(C(C(C)=O)O)O)=O
1,82.35277777777777,C(C(CCO)=O)=O
1,69.98333333333333,C(C(C(C)=O)O)=O
1,69.56025641025641,C(CC(C(C(CO)O)=O)O)=O
1,66.06666666666666,C(CC(CC(CO)=O)=O)=O
1,60.97619047619048,C(CC(CC(C=O)O)=O)=O
1,58.892857142857146,C(CC(C(C(CO)=O)O)O)=O
0,54.0,C1C(C(C(C(C(O)O1)O)O)O)O
1,52.58644688644689,C(C(CO)O)(CC(CO)=O)=O
1,49.41666666666667,C(C(CC(CO)=O)O)=O
1,49.0,C(C(CC(C(CO)=O)O)O)=O
1,46.79166666666667,C(C)(C(C(C(CO)=O)O)O)=O
1,45.2,C(CC(C(C(C(O)=O)O)O)O)=O
1,42.75,C(CO)(O)=O
1,41.858333333333334,C(C)(C(CC(C=O)=O)O)=O
1,40.25,C(CO)(C(CC(CO)=O)O)=O
1,37.9,C(CC(C(C(CO)O)O)O)=O
1,36.42619047619048,C(C(C(C(C(C)=O)O)O)O)(O)=O
1,35.7,C(CC(C(CC=O)O)=O)=O
1,32.775,C(C)(C(C(C(CO)O)O)O)=O
1,32.416666666666664,C(C(C(C=O)O)O)(C(C)O)=O
1,31.143589743589743,C(C(C(CO)O)O)(C(CO)O)=O
1,31.104700854700855,C(C(CO)O)(CC(CO)O)=O
1,30.22136752136752,C(C(C(CO)O)O)(CCO)=O
0,29.33333333333333,C(C1C(C(C(C(O)O1)O)O)O)O
1,29.25,C(C(C(C(C=C)=O)O)O)=O
0,29.249999999999996,C(C(C1C(C(C(O)O1)O)O)O)O
1,29.0,C(C(C(CC(CO)O)O)=O)=O
1,28.45,C(C(C(CO)O)O)(O)=O
1,28.0,C(CO)(CCC(C=O)=O)=O
1,27.858333333333327,C(CO)(CC(C(CO)O)O)=O
1,27.73333333333333,C(C(C=O)O)=O
1,26.977777777777774,C(C(C(CC(CO)=O)O)O)(O)=O
1,26.666666666666668,C(C(CC(C(C)=O)=O)O)=O
1,25.424999999999997,C(C(C(C=O)O)O)=O
1,24.616666666666667,C(CC(CC(C=O)=O)O)=O
1,23.833333333333336,C(CCO)(CC(C=O)=O)=O
1,23.416666666666668,C(CC(C(CCO)=O)=O)=O
1,23.333333333333336,C(C(CC(C(CO)O)O)=O)(O)=O
1,22.583333333333332,C(C(C(C(CCO)O)=O)O)=O
1,22.416666666666668,C(CC(C(C(CO)O)O)=O)(O)=O
1,21.733333333333334,C(C(C=O)O)(CC(C)=O)=O
1,21.666666666666668,C(CC(C(C(C)=O)O)=O)=O
1,20.5,C(C(C=CC(CO)=O)O)=O
1,19.688034188034187,C(CC(C(O)=O)O)(C(CO)O)=O
1,19.666666666666668,C(C(C(CCC=O)=O)O)=O
1,17.833333333333332,C1(C(C(C(C(C1)O)O)O)O)=O
1,17.566666666666663,C(C(CO)=O)(CC(CO)O)=O
1,17.5,C(CC(C(C(C=O)O)O)O)(O)=O
1,17.166666666666668,C1(COC(C(C(C1)O)O)O)=O
1,16.333333333333332,C(C=CC(C(CO)O)=O)=O
1,16.166666666666668,C(C(C(C=CC=O)O)O)=O
1,15.166666666666668,C1(C(CO)OC(C(C1)O)O)=O
1,15.166666666666666,C(C)(C1C(C(C(O1)O)O)O)=O
1,15.166666666666666,C1(C(C(O)OCC(C1)O)O)=O
1,15.0,C(C(C(CC(CO)O)=O)O)(O)=O
1,14.499999999999998,C(CC1C(C(C(O)O1)O)O)=O
1,14.166666666666666,C1(C(C(COC(C1)O)O)O)=O
1,14.166666666666666,C1(C(COC(C(C1)O)O)O)=O
1,14.166666666666666,C1(C(C(C(O)OCC1)O)O)=O
1,14.0,C1(C(C(CO)O)OC(C1)O)=O
1,12.688034188034187,C(C(C(C(O)=O)O)O)(CCO)=O
1,12.666666666666666,C1(C(C(O)OC(CO)C1)O)=O
1,12.666666666666664,C(C(CC(C(CO)O)O)O)(O)=O
1,12.533333333333331,C(CCO)(C(C(CO)=O)O)=O
1,12.5,C(C(C(C=CCO)=O)O)=O
1,12.25,C(C1(C(C(CC1O)O)O)O)=O
1,12.166666666666666,C1(C(O)OCC(C(C1)O)O)=O
1,11.833333333333332,C1(CC(C(C(CO)O)O1)O)=O
1,11.666666666666666,C1(C(C(CO)OC(C1)O)O)=O
1,11.5,C(C(C(C(CCO)O)O)O)=O
1,11.333333333333332,C(C(CO)O)=CC(C=O)=O
1,9.666666666666668,C1(C(O)OC(CO)C(C1)O)=O
1,9.166666666666666,C1(C(O)OC(C(CO)O)C1)=O
1,8.833333333333332,C1(CC(C(C(CO)O1)O)O)=O
1,8.5,C1(C(C(C(C(CO)O)O1)O)O)=O
1,7.75,C1(C(C(C(C1CO)O)O)O)=O
1,7.333333333333333,C1(CC(C(C(CO1)O)O)O)=O
1,7.166666666666666,C(CC1(C(C(CO1)O)O)O)=O
1,7.0,C(C1C(CC(CO)(O1)O)O)=O
1,7.0,C(C1C(C(C(C)(O1)O)O)O)=O
1,7.0,C(C1C(C(CC(O1)O)O)O)=O
1,7.0,C1(COCC(C(C1O)O)O)=O
1,6.5,C(C(C1(CC(CO1)O)O)O)=O
1,6.0,C1(CC(C(C1(CO)O)O)O)=O
1,6.0,C1(COC(C(CO)O)C1O)=O
1,6.0,C1(COC(CO)C(C1O)O)=O
1,5.75,C(C(C(CO)O)(C(CO)O)O)=O
1,5.5,C(C(C1C(CC(O)O1)O)O)=O
1,4.5,C(C1(CC(C(CO1)O)O)O)=O
1,4.333333333333333,C(C1C(C(C(C1O)O)O)O)=O
1,4.0,C1C(C(C(C(CO)(O)O1)O)O)O
1,4.0,C1C(C(C(C(C(O)(O)O1)O)O)O)O
1,3.5,C(C1(CC(C(CO)O1)O)O)=O
1,3.5,C1(C(C(C(C(CO)O1)O)O)O)=O
1,3.0,C1C(C(C(O)O1)O)O
1,3.0,C(C1(C(C(C(CO)O1)O)O)O)O
1,3.0,C(C(C1C(C(C(O)(O)O1)O)O)O)O
1,3.0,C(C1C(C(C(C(O)(O)O1)O)O)O)O
1,2.15,C(C(C(CO)O)O)O
1,1.133333333333333,C(CO)O
2,0.0,C1(C(CO)C(C(C1)=O)O)=O
2,0.0,C1(CCC(C(C1O)O)=O)=O
2,0.0,C(C1(CCC(C1O)=O)O)=O
2,0.0,C1(CC(C(CC1O)=O)O)=O
