Canonical_SMILES,pattern,substruct_match
CC12CNCC1CCO2,CN,"(2, 3)"
CC12CNCC1CCO2,CN,"(4, 3)"
CC12CNCC1CCO2,CNC,"(2, 3, 4)"
CC12CNCC1CCO2,CO,"(1, 8)"
CC12CNCC1CCO2,CO,"(7, 8)"
CC12CNCC1CCO2,COC,"(1, 8, 7)"
CC12CCCC1NCO2,CN,"(5, 6)"
CC12CCCC1NCO2,CN,"(7, 6)"
CC12CCCC1NCO2,CNC,"(5, 6, 7)"
CC12CCCC1NCO2,CO,"(1, 8)"
CC12CCCC1NCO2,CO,"(7, 8)"
CC12CCCC1NCO2,COC,"(1, 8, 7)"
CC12CCNC1CCO2,CN,"(3, 4)"
CC12CCNC1CCO2,CN,"(5, 4)"
CC12CCNC1CCO2,CNC,"(3, 4, 5)"
CC12CCNC1CCO2,CO,"(1, 8)"
CC12CCNC1CCO2,CO,"(7, 8)"
CC12CCNC1CCO2,COC,"(1, 8, 7)"
CC12NCCC1CCO2,CN,"(1, 2)"
CC12NCCC1CCO2,CN,"(3, 2)"
CC12NCCC1CCO2,CNC,"(1, 2, 3)"
CC12NCCC1CCO2,CO,"(1, 8)"
CC12NCCC1CCO2,CO,"(7, 8)"
CC12NCCC1CCO2,COC,"(1, 8, 7)"
CCC12CNC(C1)OC2,CN,"(3, 4)"
CCC12CNC(C1)OC2,CN,"(5, 4)"
CCC12CNC(C1)OC2,CNC,"(3, 4, 5)"
CCC12CNC(C1)OC2,CO,"(5, 7)"
CCC12CNC(C1)OC2,CO,"(8, 7)"
CCC12CNC(C1)OC2,COC,"(5, 7, 8)"
CC12CNC(COC1)C2,CN,"(2, 3)"
CC12CNC(COC1)C2,CN,"(4, 3)"
CC12CNC(COC1)C2,CNC,"(2, 3, 4)"
CC12CNC(COC1)C2,CO,"(5, 6)"
CC12CNC(COC1)C2,CO,"(7, 6)"
CC12CNC(COC1)C2,COC,"(5, 6, 7)"
CC12CNCC(C1)OC2,CN,"(2, 3)"
