Generation,Id,NumStereoIsomers,indegree,outdegree,degree,modularity_class,eigencentrality,numC,numH,numO,H/C,O/C
G0,C(C(C(C(C(CO)O)O)O)O)=O,16,15,9504,9519,29,0.000814,6,12,6,2,1
G0,O,1,21071,16888,37959,29,1,0,2,1,0,0
G1,C(CO)=O,1,1365,2493,3858,0,0.064793,2,4,2,2,1
G1,C(C(C(CO)O)O)=O,4,60,66,126,0,0.00291,4,8,4,2,1
G1,C(CO)(C(C(C(CO)O)O)O)=O,8,14,12,26,5,0.000754,6,12,6,2,1
G1,C(C(C(C(C(CO)O)O)O)O)(O)=O,16,6191,13,6204,29,0.363693,6,12,7,2,1.166666667
G1,C(C(C(C(C(CO)O)O)O)O)O,10,3316,5,3321,29,0.194811,6,14,6,2.333333333,1
G1,C(C(CC(C(CO)O)O)=O)=O,4,17,18,35,41,0.000874,6,10,5,1.666666667,0.833333333
G1,C(CC(C(C(CO)O)O)=O)=O,4,19,19,38,9,0.000959,6,10,5,1.666666667,0.833333333
G1,C(C(C(CC(CO)O)=O)O)=O,4,16,16,32,2,0.000805,6,10,5,1.666666667,0.833333333
G1,C(CC(C=O)O)(C(CO)O)=O,4,22,20,42,2,0.001093,6,10,5,1.666666667,0.833333333
G1,C(C(C(C=O)O)O)(CCO)=O,4,23,22,45,2,0.001142,6,10,5,1.666666667,0.833333333
G1,C(C(C(CC(CO)=O)O)O)=O,4,21,21,42,2,0.001044,6,10,5,1.666666667,0.833333333
G1,C(C(C(C(C(C)=O)O)O)O)=O,8,21,21,42,1,0.001044,6,10,5,1.666666667,0.833333333
G1,C(CC(C(C(C=O)O)O)O)=O,8,23,25,48,43,0.00115,6,10,5,1.666666667,0.833333333
G1,C(C(C1C(C(C(O)O1)O)O)O)O,32,6,7,13,35,0.00034,6,12,6,2,1
G1,C(C1C(C(C(C(O)O1)O)O)O)O,32,6,7,13,29,0.00034,6,12,6,2,1
G1,C1C(C(C(C(C(O)O1)O)O)O)O,32,7,9,16,41,0.000399,6,12,6,2,1
G2,C1(C(C(C(C1CO)O)O)O)=O,16,20,17,37,2,0.001031,6,10,5,1.666666667,0.833333333
G2,C1(C(C(C(C(C1)O)O)O)O)=O,16,17,16,33,2,0.000873,6,10,5,1.666666667,0.833333333
G2,C(C1C(C(C(C1O)O)O)O)=O,10,11,12,23,43,0.000566,6,10,5,1.666666667,0.833333333
G2,C(C(CC(C(CO)O)O)O)(O)=O,8,10,10,20,29,0.000586,6,12,6,2,1
G2,C(C(C(C(C(CO)O)O)O)=O)=O,8,16,19,35,29,0.000841,6,10,6,1.666666667,1
G2,C(CO)(CO)=O,1,251,367,618,5,0.011924,3,6,3,2,1
G2,C(C(CO)O)=O,2,337,394,731,41,0.016033,3,6,3,2,1
G2,C(C(C)=O)=O,1,676,1391,2067,45,0.032081,3,4,2,1.333333333,0.666666667
G2,C(CC(CO)=O)=O,1,201,278,479,49,0.009551,4,6,3,1.5,0.75
G2,C(C(C(C)=O)O)=O,2,192,236,428,1,0.009112,4,6,3,1.5,0.75
G2,C(C=O)=O,1,756,951,1707,0,0.035878,2,2,2,1,1
G2,C(C)(C(CO)O)=O,2,172,199,371,28,0.008201,4,8,3,2,0.75
G2,C(C(CC(CO)=O)O)=O,2,46,56,102,4,0.002207,5,8,4,1.6,0.8
G2,C=O,1,3445,5658,9103,2,0.163491,1,2,1,2,1
G2,C(C(CCO)=O)=O,1,161,198,359,3,0.007666,4,6,3,1.5,0.75
G2,C(CO)(CCO)=O,1,171,238,409,3,0.008152,4,8,3,2,0.75
G2,C(C(C(C(C)=O)O)O)=O,4,52,58,110,0,0.002495,5,8,4,1.6,0.8
G2,C(C(C=O)O)=O,1,263,369,632,1,0.012482,3,4,3,1.333333333,1
G2,C(C)(CO)=O,1,603,1142,1745,49,0.028629,3,6,2,2,0.666666667
G2,C(CC(C=O)O)=O,2,201,239,440,43,0.009552,4,6,3,1.5,0.75
